chart_week,year,month,day,current_week,title,performer,last_week,peak_pos,wks_on_chart
2022-01-01,2022,January,01,1,All I Want For Christmas Is You,Mariah Carey,1,1,50
2022-01-01,2022,January,01,2,Rockin' Around The Christmas Tree,Brenda Lee,2,2,44
2022-01-01,2022,January,01,5,Easy On Me,Adele,3,1,11
2022-01-01,2022,January,01,9,Stay,The Kid LAROI & Justin Bieber,6,1,24
2022-01-01,2022,January,01,15,Heat Waves,Glass Animals,8,7,49
2022-01-01,2022,January,01,22,Industry Baby,Lil Nas X & Jack Harlow,10,1,22
2022-01-01,2022,January,01,38,Good 4 U,Olivia Rodrigo,33,1,32
2022-01-01,2022,January,01,58,Way 2 Sexy,Drake Featuring Future & Young Thug,46,1,16
2022-01-01,2022,January,01,68,All Too Well (Taylor's Version),Taylor Swift,59,1,6
2022-01-01,2022,January,01,84,My Universe,Coldplay x BTS,74,1,13
2022-01-08,2022,January,08,1,All I Want For Christmas Is You,Mariah Carey,1,1,51
2022-01-08,2022,January,08,2,Easy On Me,Adele,5,1,12
2022-01-08,2022,January,08,3,Rockin' Around The Christmas Tree,Brenda Lee,2,2,45
2022-01-08,2022,January,08,6,Stay,The Kid LAROI & Justin Bieber,9,1,25
2022-01-08,2022,January,08,7,Heat Waves,Glass Animals,15,7,50
2022-01-08,2022,January,08,12,Industry Baby,Lil Nas X & Jack Harlow,22,1,23
2022-01-08,2022,January,08,31,Good 4 U,Olivia Rodrigo,38,1,33
2022-01-08,2022,January,08,50,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",0,50,1
2022-01-08,2022,January,08,53,Way 2 Sexy,Drake Featuring Future & Young Thug,58,1,17
2022-01-08,2022,January,08,66,All Too Well (Taylor's Version),Taylor Swift,68,1,7
2022-01-08,2022,January,08,72,My Universe,Coldplay x BTS,84,1,14
2022-01-15,2022,January,15,1,Easy On Me,Adele,2,1,13
2022-01-15,2022,January,15,2,Stay,The Kid LAROI & Justin Bieber,6,1,26
2022-01-15,2022,January,15,3,Heat Waves,Glass Animals,7,3,51
2022-01-15,2022,January,15,5,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",50,5,2
2022-01-15,2022,January,15,6,Industry Baby,Lil Nas X & Jack Harlow,12,1,24
2022-01-15,2022,January,15,15,Good 4 U,Olivia Rodrigo,31,1,34
2022-01-15,2022,January,15,18,Save Your Tears,The Weeknd & Ariana Grande,0,1,53
2022-01-15,2022,January,15,33,Way 2 Sexy,Drake Featuring Future & Young Thug,53,1,18
2022-01-15,2022,January,15,41,Montero (Call Me By Your Name),Lil Nas X,0,1,35
2022-01-15,2022,January,15,49,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),0,1,39
2022-01-15,2022,January,15,55,All Too Well (Taylor's Version),Taylor Swift,66,1,8
2022-01-15,2022,January,15,58,My Universe,Coldplay x BTS,72,1,15
2022-01-22,2022,January,22,1,Easy On Me,Adele,1,1,14
2022-01-22,2022,January,22,2,Stay,The Kid LAROI & Justin Bieber,2,1,27
2022-01-22,2022,January,22,3,Heat Waves,Glass Animals,3,3,52
2022-01-22,2022,January,22,4,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",5,4,3
2022-01-22,2022,January,22,12,Industry Baby,Lil Nas X & Jack Harlow,6,1,25
2022-01-22,2022,January,22,20,Good 4 U,Olivia Rodrigo,15,1,35
2022-01-22,2022,January,22,21,Save Your Tears,The Weeknd & Ariana Grande,18,1,54
2022-01-22,2022,January,22,58,Way 2 Sexy,Drake Featuring Future & Young Thug,33,1,19
2022-01-22,2022,January,22,82,All Too Well (Taylor's Version),Taylor Swift,55,1,9
2022-01-22,2022,January,22,94,My Universe,Coldplay x BTS,58,1,16
2022-01-29,2022,January,29,1,Easy On Me,Adele,1,1,15
2022-01-29,2022,January,29,2,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",4,2,4
2022-01-29,2022,January,29,3,Heat Waves,Glass Animals,3,3,53
2022-01-29,2022,January,29,4,Stay,The Kid LAROI & Justin Bieber,2,1,28
2022-01-29,2022,January,29,13,Industry Baby,Lil Nas X & Jack Harlow,12,1,26
2022-01-29,2022,January,29,20,Save Your Tears,The Weeknd & Ariana Grande,21,1,55
2022-01-29,2022,January,29,21,Good 4 U,Olivia Rodrigo,20,1,36
2022-01-29,2022,January,29,50,Way 2 Sexy,Drake Featuring Future & Young Thug,58,1,20
2022-01-29,2022,January,29,74,All Too Well (Taylor's Version),Taylor Swift,82,1,10
2022-01-29,2022,January,29,92,My Universe,Coldplay x BTS,94,1,17
2022-02-05,2022,February,05,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",2,1,5
2022-02-05,2022,February,05,2,Easy On Me,Adele,1,1,16
2022-02-05,2022,February,05,3,Heat Waves,Glass Animals,3,3,54
2022-02-05,2022,February,05,4,Stay,The Kid LAROI & Justin Bieber,4,1,29
2022-02-05,2022,February,05,14,Industry Baby,Lil Nas X & Jack Harlow,13,1,27
2022-02-05,2022,February,05,19,Save Your Tears,The Weeknd & Ariana Grande,20,1,56
2022-02-05,2022,February,05,25,Good 4 U,Olivia Rodrigo,21,1,37
2022-02-05,2022,February,05,77,All Too Well (Taylor's Version),Taylor Swift,74,1,11
2022-02-12,2022,February,12,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,6
2022-02-12,2022,February,12,2,Easy On Me,Adele,2,1,17
2022-02-12,2022,February,12,3,Heat Waves,Glass Animals,3,3,55
2022-02-12,2022,February,12,4,Stay,The Kid LAROI & Justin Bieber,4,1,30
2022-02-12,2022,February,12,14,Industry Baby,Lil Nas X & Jack Harlow,14,1,28
2022-02-12,2022,February,12,19,Save Your Tears,The Weeknd & Ariana Grande,19,1,57
2022-02-12,2022,February,12,23,Good 4 U,Olivia Rodrigo,25,1,38
2022-02-12,2022,February,12,75,All Too Well (Taylor's Version),Taylor Swift,77,1,12
2022-02-19,2022,February,19,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,7
2022-02-19,2022,February,19,3,Easy On Me,Adele,2,1,18
2022-02-19,2022,February,19,4,Heat Waves,Glass Animals,3,3,56
2022-02-19,2022,February,19,5,Stay,The Kid LAROI & Justin Bieber,4,1,31
2022-02-19,2022,February,19,16,Industry Baby,Lil Nas X & Jack Harlow,14,1,29
2022-02-19,2022,February,19,18,Save Your Tears,The Weeknd & Ariana Grande,19,1,58
2022-02-19,2022,February,19,25,Good 4 U,Olivia Rodrigo,23,1,39
2022-02-19,2022,February,19,84,All Too Well (Taylor's Version),Taylor Swift,75,1,13
2022-02-26,2022,February,26,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,8
2022-02-26,2022,February,26,2,Heat Waves,Glass Animals,4,2,57
2022-02-26,2022,February,26,3,Easy On Me,Adele,3,1,19
2022-02-26,2022,February,26,5,Stay,The Kid LAROI & Justin Bieber,5,1,32
2022-02-26,2022,February,26,17,Industry Baby,Lil Nas X & Jack Harlow,16,1,30
2022-02-26,2022,February,26,18,Save Your Tears,The Weeknd & Ariana Grande,18,1,59
2022-02-26,2022,February,26,30,Good 4 U,Olivia Rodrigo,25,1,40
2022-02-26,2022,February,26,40,Lose Yourself,Eminem,0,1,24
2022-02-26,2022,February,26,96,All Too Well (Taylor's Version),Taylor Swift,84,1,14
2022-03-05,2022,March,05,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,9
2022-03-05,2022,March,05,2,Heat Waves,Glass Animals,2,2,58
2022-03-05,2022,March,05,4,Easy On Me,Adele,3,1,20
2022-03-05,2022,March,05,6,Stay,The Kid LAROI & Justin Bieber,5,1,33
2022-03-05,2022,March,05,15,Industry Baby,Lil Nas X & Jack Harlow,17,1,31
2022-03-05,2022,March,05,19,Save Your Tears,The Weeknd & Ariana Grande,18,1,60
2022-03-05,2022,March,05,27,Good 4 U,Olivia Rodrigo,30,1,41
2022-03-05,2022,March,05,99,All Too Well (Taylor's Version),Taylor Swift,96,1,15
2022-03-12,2022,March,12,1,Heat Waves,Glass Animals,2,1,59
2022-03-12,2022,March,12,2,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,10
2022-03-12,2022,March,12,5,Stay,The Kid LAROI & Justin Bieber,6,1,34
2022-03-12,2022,March,12,6,Easy On Me,Adele,4,1,21
2022-03-12,2022,March,12,16,Industry Baby,Lil Nas X & Jack Harlow,15,1,32
2022-03-12,2022,March,12,20,Save Your Tears,The Weeknd & Ariana Grande,19,1,61
2022-03-12,2022,March,12,29,Good 4 U,Olivia Rodrigo,27,1,42
2022-03-19,2022,March,19,1,Heat Waves,Glass Animals,1,1,60
2022-03-19,2022,March,19,2,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",2,1,11
2022-03-19,2022,March,19,5,Stay,The Kid LAROI & Justin Bieber,5,1,35
2022-03-19,2022,March,19,6,Easy On Me,Adele,6,1,22
2022-03-19,2022,March,19,17,Save Your Tears,The Weeknd & Ariana Grande,20,1,62
2022-03-19,2022,March,19,19,Industry Baby,Lil Nas X & Jack Harlow,16,1,33
2022-03-19,2022,March,19,31,Good 4 U,Olivia Rodrigo,29,1,43
2022-03-26,2022,March,26,1,Heat Waves,Glass Animals,1,1,61
2022-03-26,2022,March,26,2,Stay,The Kid LAROI & Justin Bieber,5,1,36
2022-03-26,2022,March,26,5,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",2,1,12
2022-03-26,2022,March,26,7,Easy On Me,Adele,6,1,23
2022-03-26,2022,March,26,17,Save Your Tears,The Weeknd & Ariana Grande,17,1,63
2022-03-26,2022,March,26,21,Industry Baby,Lil Nas X & Jack Harlow,19,1,34
2022-03-26,2022,March,26,32,Good 4 U,Olivia Rodrigo,31,1,44
2022-04-02,2022,April,02,1,Heat Waves,Glass Animals,1,1,62
2022-04-02,2022,April,02,2,Stay,The Kid LAROI & Justin Bieber,2,1,37
2022-04-02,2022,April,02,6,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",5,1,13
2022-04-02,2022,April,02,10,Easy On Me,Adele,7,1,24
2022-04-02,2022,April,02,17,Save Your Tears,The Weeknd & Ariana Grande,17,1,64
2022-04-02,2022,April,02,21,Industry Baby,Lil Nas X & Jack Harlow,21,1,35
2022-04-02,2022,April,02,27,Good 4 U,Olivia Rodrigo,32,1,45
2022-04-09,2022,April,09,1,Heat Waves,Glass Animals,1,1,63
2022-04-09,2022,April,09,2,Stay,The Kid LAROI & Justin Bieber,2,1,38
2022-04-09,2022,April,09,8,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",6,1,14
2022-04-09,2022,April,09,12,Easy On Me,Adele,10,1,25
2022-04-09,2022,April,09,17,Save Your Tears,The Weeknd & Ariana Grande,17,1,65
2022-04-09,2022,April,09,21,Industry Baby,Lil Nas X & Jack Harlow,21,1,36
2022-04-09,2022,April,09,27,Good 4 U,Olivia Rodrigo,27,1,46
2022-04-16,2022,April,16,1,As It Was,Harry Styles,0,1,1
2022-04-16,2022,April,16,2,Heat Waves,Glass Animals,1,1,64
2022-04-16,2022,April,16,4,Stay,The Kid LAROI & Justin Bieber,2,1,39
2022-04-16,2022,April,16,11,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",8,1,15
2022-04-16,2022,April,16,14,Easy On Me,Adele,12,1,26
