chart_week,year,month,day,current_week,title,performer,last_week,peak_pos,wks_on_chart
2022-01-01,2022,January,01,15,Heat Waves,Glass Animals,8,7,49
2022-01-01,2022,January,01,17,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,19,12,11
2022-01-01,2022,January,01,27,abcdefu,GAYLE,16,15,5
2022-01-01,2022,January,01,34,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,44,32,4
2022-01-01,2022,January,01,35,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,50,35,2
2022-01-01,2022,January,01,52,Love Nwantiti (Ah Ah Ah),CKay,47,31,14
2022-01-01,2022,January,01,60,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,58,21,15
2022-01-08,2022,January,08,7,Heat Waves,Glass Animals,15,7,50
2022-01-08,2022,January,08,13,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,17,12,12
2022-01-08,2022,January,08,17,abcdefu,GAYLE,27,15,6
2022-01-08,2022,January,08,45,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,35,35,3
2022-01-08,2022,January,08,48,Love Nwantiti (Ah Ah Ah),CKay,52,31,15
2022-01-08,2022,January,08,54,Surface Pressure,Jessica Darrow,0,54,1
2022-01-08,2022,January,08,56,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,60,21,16
2022-01-08,2022,January,08,92,I Am Woman,Emmy Meli,0,92,1
2022-01-15,2022,January,15,3,Heat Waves,Glass Animals,7,3,51
2022-01-15,2022,January,15,11,abcdefu,GAYLE,17,11,7
2022-01-15,2022,January,15,14,Surface Pressure,Jessica Darrow,54,14,2
2022-01-15,2022,January,15,29,Love Nwantiti (Ah Ah Ah),CKay,48,29,16
2022-01-15,2022,January,15,38,Beggin',Maneskin,0,13,25
2022-01-15,2022,January,15,39,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,56,21,17
2022-01-15,2022,January,15,74,I Am Woman,Emmy Meli,92,74,2
2022-01-15,2022,January,15,83,Dos Oruguitas,Sebastian Yatra,0,83,1
2022-01-15,2022,January,15,97,I Love You So,The Walters,0,97,1
2022-01-22,2022,January,22,3,Heat Waves,Glass Animals,3,3,52
2022-01-22,2022,January,22,9,abcdefu,GAYLE,11,9,8
2022-01-22,2022,January,22,14,Surface Pressure,Jessica Darrow,14,14,3
2022-01-22,2022,January,22,41,Love Nwantiti (Ah Ah Ah),CKay,29,29,17
2022-01-22,2022,January,22,49,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,39,21,18
2022-01-22,2022,January,22,71,Dos Oruguitas,Sebastian Yatra,83,71,2
2022-01-22,2022,January,22,97,I Am Woman,Emmy Meli,74,74,3
2022-01-29,2022,January,29,3,Heat Waves,Glass Animals,3,3,53
2022-01-29,2022,January,29,8,abcdefu,GAYLE,9,8,9
2022-01-29,2022,January,29,10,Surface Pressure,Jessica Darrow,14,10,4
2022-01-29,2022,January,29,27,Love Nwantiti (Ah Ah Ah),CKay,41,27,18
2022-01-29,2022,January,29,39,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,49,21,19
2022-01-29,2022,January,29,44,Dos Oruguitas,Sebastian Yatra,71,44,3
2022-02-05,2022,February,05,3,Heat Waves,Glass Animals,3,3,54
2022-02-05,2022,February,05,8,abcdefu,GAYLE,8,8,10
2022-02-05,2022,February,05,9,Surface Pressure,Jessica Darrow,10,9,5
2022-02-05,2022,February,05,26,Love Nwantiti (Ah Ah Ah),CKay,27,26,19
2022-02-05,2022,February,05,36,Dos Oruguitas,Sebastian Yatra,44,36,4
2022-02-05,2022,February,05,40,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,39,21,20
2022-02-05,2022,February,05,81,I Love You So,The Walters,0,81,2
2022-02-05,2022,February,05,99,I Am Woman,Emmy Meli,0,74,4
2022-02-12,2022,February,12,3,Heat Waves,Glass Animals,3,3,55
2022-02-12,2022,February,12,6,abcdefu,GAYLE,8,6,11
2022-02-12,2022,February,12,8,Surface Pressure,Jessica Darrow,9,8,6
2022-02-12,2022,February,12,30,Love Nwantiti (Ah Ah Ah),CKay,26,26,20
2022-02-12,2022,February,12,38,Dos Oruguitas,Sebastian Yatra,36,36,5
2022-02-12,2022,February,12,41,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,40,21,21
2022-02-12,2022,February,12,71,I Love You So,The Walters,81,71,3
2022-02-12,2022,February,12,91,Numb Little Bug,Em Beihold,0,91,1
2022-02-12,2022,February,12,94,Infinity,Jaymes Young,0,94,1
2022-02-19,2022,February,19,4,Heat Waves,Glass Animals,3,3,56
2022-02-19,2022,February,19,7,abcdefu,GAYLE,6,6,12
2022-02-19,2022,February,19,10,Surface Pressure,Jessica Darrow,8,8,7
2022-02-19,2022,February,19,26,Love Nwantiti (Ah Ah Ah),CKay,30,26,21
2022-02-19,2022,February,19,39,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,41,21,22
2022-02-19,2022,February,19,41,Dos Oruguitas,Sebastian Yatra,38,36,6
2022-02-19,2022,February,19,75,I Love You So,The Walters,71,71,4
2022-02-19,2022,February,19,91,Numb Little Bug,Em Beihold,91,91,2
