chart_week,year,month,day,current_week,title,performer,last_week,peak_pos,wks_on_chart
2022-01-01,2022,January,01,19,Rudolph The Red-Nosed Reindeer,Gene Autry,21,16,16
2022-01-01,2022,January,01,81,Life Goes On,Oliver Tree,0,81,3
2022-01-08,2022,January,08,24,Rudolph The Red-Nosed Reindeer,Gene Autry,19,16,17
2022-01-08,2022,January,08,84,Life Goes On,Oliver Tree,81,81,4
2022-01-15,2022,January,15,71,Life Goes On,Oliver Tree,84,71,5
2022-01-15,2022,January,15,100,Just About Over You,Priscilla Block,0,81,7
2022-02-12,2022,February,12,100,"Colombia, Mi Encanto",Carlos Vives,0,100,1
2022-08-13,2022,August,13,83,Victoria’s Secret,Jax,0,83,1
2022-08-20,2022,August,20,66,Victoria’s Secret,Jax,83,66,2
2022-08-27,2022,August,27,64,Victoria’s Secret,Jax,66,64,3
2022-09-03,2022,September,03,52,Victoria’s Secret,Jax,64,52,4
2022-09-03,2022,September,03,90,Don't Come Lookin',Jackson Dean,0,90,1
2022-09-03,2022,September,03,100,La Bachata,Manuel Turizo,0,100,1
2022-09-10,2022,September,10,59,Victoria’s Secret,Jax,52,52,5
2022-09-10,2022,September,10,71,Golden Hour,JVKE,0,71,1
2022-09-10,2022,September,10,95,La Bachata,Manuel Turizo,100,95,2
2022-09-17,2022,September,17,50,Victoria’s Secret,Jax,59,50,6
2022-09-17,2022,September,17,65,Golden Hour,JVKE,71,65,2
2022-09-17,2022,September,17,86,La Bachata,Manuel Turizo,95,86,3
2022-09-17,2022,September,17,88,Don't Come Lookin',Jackson Dean,0,88,2
2022-09-24,2022,September,24,50,Victoria’s Secret,Jax,50,50,7
2022-09-24,2022,September,24,62,Golden Hour,JVKE,65,62,3
2022-09-24,2022,September,24,71,Don't Come Lookin',Jackson Dean,88,71,3
2022-09-24,2022,September,24,86,La Bachata,Manuel Turizo,86,86,4
2022-10-01,2022,October,01,48,Victoria’s Secret,Jax,50,48,8
2022-10-01,2022,October,01,56,Golden Hour,JVKE,62,56,4
2022-10-01,2022,October,01,60,Don't Come Lookin',Jackson Dean,71,60,4
2022-10-01,2022,October,01,85,La Bachata,Manuel Turizo,86,85,5
2022-10-08,2022,October,08,52,Victoria’s Secret,Jax,48,48,9
2022-10-08,2022,October,08,59,Don't Come Lookin',Jackson Dean,60,59,5
2022-10-08,2022,October,08,60,Golden Hour,JVKE,56,56,5
